"Judul","Sinopsis","Genre"
"KKN di Desa Penari","Seorang mahasiswa bersama teman-temannya menjalani KKN di desa terpencil yang menyimpan rahasia ritual penari misterius dan kekuatan gaib yang menakutkan.","Horor"
"Danur","Risa kecil berteman dengan lima arwah anak-anak di rumahnya, tapi persahabatan itu membawa teror supranatural yang mencekam.","Horor"
"Janthor Risa","Risa Saraswati berbagi pengalaman nyata bertemu makhluk halus dan kejadian horor di berbagai tempat angker.","Horor"
"Kisah Tanah Jawa: Pocong Gundul","Pocong tanpa kepala menghantui desa sebagai balas dendam atas kematian tragis di masa lalu.","Horor"
"Surat dari Kematian","Surat misterius dari orang yang sudah meninggal mengancam nyawa penerimanya dan mengungkap rahasia kelam keluarga.","Horor"
"Entrok","Di era Orde Baru, seorang perempuan desa menghadapi hantu kelaparan dan trauma kekerasan yang menghantui.","Horor"
"Wingit","Sara Wijayanto menceritakan kisah nyata pertemuan dengan makhluk gaib yang menyeramkan sepanjang hidupnya.","Horor"
"Samex: Sawarga Malapetaka","Risa kembali dengan cerita horor nyata tentang tempat-tempat angker dan kejadian supranatural.","Horor"
"Indigo Tapi Penakut","Seorang indigo yang seharusnya berani justru ketakutan saat menghadapi teror di rumah kos berhantu.","Horor"
"Sewu Dino","Kutukan seribu hari di desa terpencil membangkitkan roh pendendam yang menuntut korban.","Horor"
"Arwah Penunggu Diskotek","Seorang pemuda bekerja di diskotek angker dan diikuti arwah korban masa lalu yang haus balas dendam.","Horor"
"Petaka Perjalanan Tanpa Restu","Traveling ke tempat terlarang tanpa restu leluhur membawa pengalaman menyeramkan dan gangguan gaib.","Horor"
"Gong Nyai","Suara gong misterius dari arwah perempuan tua menghantui desa di malam hari.","Horor"
"Omen #3: Misteri Organisasi Rahasia The Judges","Organisasi rahasia memburu remaja ber-tanda khusus dengan ritual gelap dan teror.","Horor"
"Ranjat Kembang","Bunga kembang hidup menyeret korban ke alam gaib dalam kisah horor Jawa.","Horor"
"Hantu Mangga Muda","Hantu perempuan muda menghantui pohon mangga dan membalas dendam atas pengkhianatan cinta.","Horor"
"Malam Jumat Kliwon","Kejadian supranatural meningkat di malam Jumat Kliwon dengan penampakan hantu dan suara aneh.","Horor"
"Kuntilanak di Rumah Tua","Kuntilanak berambut panjang menghantui rumah tua dan mengganggu penghuni baru.","Horor"
"Sundel Bolong","Sundel bolong muncul di desa dan mencari balas dendam atas kematian tragisnya.","Horor"
"Leak Bali","Kisah penyihir Bali yang menggunakan ilmu hitam untuk menguasai dan menakut-nakuti korban.","Horor"
"Genderuwo Penunggu Hutan","Genderuwo besar menghantui hutan dan mengganggu pejalan kaki yang masuk wilayahnya.","Horor"
"Tuyul Mencuri Uang","Tuyul kecil mencuri uang atas perintah dukun dan membawa malapetaka bagi pemiliknya.","Horor"
"Jelangkung di Rumah Kosong","Permainan jelangkung membangkitkan roh jahat di rumah kosong yang terbengkalai.","Horor"
"Hantu Pocong di Jalan Raya","Pocong melompat di jalan raya malam hari dan menakutkan pengendara motor.","Horor"
"Setan Penunggu Sumur","Arwah korban jatuh ke sumur menghantui dan menarik orang ke dalamnya.","Horor"
"Wewe Gombel","Wewe Gombel menculik anak kecil untuk dibesarkan sebagai ganti anaknya yang hilang.","Horor"
"Kuntilanak di Sekolah","Kuntilanak muncul di sekolah malam hari dan mengganggu siswa yang lembur.","Horor"
"Hantu Kepala Terbang","Kepala terbang tanpa badan menghantui kampung dan mencari korban.","Horor"
"Penampakan Pocong di Kuburan","Pocong bangkit dari kubur dan berjalan mencari orang yang mengkhianatinya.","Horor"
"Misteri Rumah Berhantu di Pinggir Kota","Rumah tua di pinggir kota menyimpan rahasia pembunuhan dan penampakan hantu.","Horor"
"Rahasia Meede: Misteri Harta Karun VOC","Detektif mengungkap harta karun VOC tapi dikejar misteri pembunuhan berantai kolonial.","Misteri"
"24 Jam Bersama Gaspar","Detektif harus memecahkan kasus dalam 24 jam bersama tersangka misterius penuh rahasia.","Misteri"
"Dua Dini Hari","Kejadian misterius di dini hari melibatkan pembunuhan dan petunjuk membingungkan.","Misteri"
"Misteri Patung Garam","Patung garam di lokasi kejadian menyimpan rahasia pembunuhan berantai.","Misteri"
"Hantu di Rumah Kos","Mahasiswi pindah ke kos angker dan menemukan misteri pembunuhan lama.","Misteri"
